idp,role,username,password,ne_behaviour
local_provider,tutorial.tut001.ta,user1,defaultpassword,create
local_provider,tutorial.tut001.student,user2,defaultpassword,create
local_provider,tutorial.tut001.student,user3,defaultpassword,create
local_provider,tutorial.tut001.student,user4,defaultpassword,create
local_provider,tutorial.tut001.student,user5,defaultpassword,create
local_provider,tutorial.tut001.student,user6,defaultpassword,create
local_provider,tutorial.tut001.student,user7,defaultpassword,create
local_provider,tutorial.tut001.student,user8,defaultpassword,create
local_provider,tutorial.tut001.student,user9,defaultpassword,create
local_provider,tutorial.tut001.student,user10,defaultpassword,create
local_provider,tutorial.tut001.student,user11,defaultpassword,create
local_provider,tutorial.tut001.student,user12,defaultpassword,create
local_provider,tutorial.tut001.student,user13,defaultpassword,create
local_provider,tutorial.tut001.student,user14,defaultpassword,create
local_provider,tutorial.tut002.ta,user15,defaultpassword,create
local_provider,tutorial.tut002.student,user16,defaultpassword,create
local_provider,tutorial.tut002.student,user17,defaultpassword,create
local_provider,tutorial.tut002.student,user18,defaultpassword,create
local_provider,tutorial.tut002.student,user19,defaultpassword,create
local_provider,tutorial.tut002.student,user20,defaultpassword,create
local_provider,tutorial.tut002.student,user21,defaultpassword,create
local_provider,tutorial.tut002.student,user22,defaultpassword,create
local_provider,tutorial.tut002.student,user23,defaultpassword,create
local_provider,tutorial.tut002.student,user24,defaultpassword,create
local_provider,tutorial.tut002.student,user25,defaultpassword,create
local_provider,tutorial.tut002.student,user26,defaultpassword,create
local_provider,tutorial.tut002.student,user27,defaultpassword,create
local_provider,tutorial.tut002.student,user28,defaultpassword,create
local_provider,tutorial.tut002.student,user29,defaultpassword,create
local_provider,tutorial.tut002.student,user30,defaultpassword,create
local_provider,tutorial.tut002.student,user31,defaultpassword,create
local_provider,tutorial.tut002.student,user32,defaultpassword,create
local_provider,tutorial.tut002.student,user33,defaultpassword,create
local_provider,tutorial.tut003.ta,user34,defaultpassword,create
